1202 | 12/09/2022 | 22:13:30 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.76 < Threshold 2.88 Volts
1203 | 12/09/2022 | 22:13:38 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
1204 | 12/09/2022 | 22:13:39 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
1205 | 12/09/2022 | 22:13:39 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1206 | 12/09/2022 | 22:13:48 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
1207 | 12/09/2022 | 22:13:48 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
1208 | 12/09/2022 | 22:13:48 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
1209 | 12/09/2022 | 22:13:57 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
120a | 12/09/2022 | 22:13:57 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
120b | 12/09/2022 | 22:13:57 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
120c | 12/09/2022 | 22:14:15 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
120d | 12/09/2022 | 22:14:15 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
120e | 12/09/2022 | 22:14:21 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
120f | 12/09/2022 | 22:14:21 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
1210 | 12/09/2022 | 22:14:33 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
1211 | 12/09/2022 | 22:14:33 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
1212 | 12/09/2022 | 22:14:34 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
1213 | 12/09/2022 | 22:14:42 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
1214 | 12/09/2022 | 22:14:42 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
1215 | 12/09/2022 | 22:14:43 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1216 | 12/09/2022 | 22:14:45 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
1217 | 12/09/2022 | 22:14:45 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
1218 | 12/09/2022 | 22:14:46 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
1219 | 12/09/2022 | 22:14:54 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
121a | 12/09/2022 | 22:14:55 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
121b | 12/09/2022 | 22:14:55 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
121c | 12/09/2022 | 22:15:18 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
121d | 12/09/2022 | 22:15:19 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
121e | 12/09/2022 | 22:15:19 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
121f | 12/09/2022 | 22:15:28 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
1220 | 12/09/2022 | 22:15:28 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
1221 | 12/09/2022 | 22:15:28 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1222 | 12/09/2022 | 22:15:37 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
1223 | 12/09/2022 | 22:15:37 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
1224 | 12/09/2022 | 22:15:37 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
1225 | 12/09/2022 | 22:15:46 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
1226 | 12/09/2022 | 22:15:46 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
1227 | 12/09/2022 | 22:15:46 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1228 | 12/09/2022 | 22:15:49 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
1229 | 12/09/2022 | 22:15:49 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
122a | 12/09/2022 | 22:15:49 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
122b | 12/09/2022 | 22:16:01 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
